18-10-2020 02:50,1,retail,10,tienda-A,casa-A,18-10-2020 02:50
18-10-2020 02:50,3,retail,110,tienda-C,casa-C,18-10-2020 02:50
18-10-2020 02:50,5,retail,12,tienda-B,casa-B,18-10-2020 02:50
18-10-2020 02:50,BE127,prioritario,15,pyme,casa-K,18-10-2020 02:50
18-10-2020 02:50,7,retail,10,tienda-A,casa-A,18-10-2020 02:50
18-10-2020 02:50,BE785,prioritario,8,pyme,casa-E,18-10-2020 02:50
18-10-2020 02:50,PF111,prioritario,10,pyme,casa-N,18-10-2020 02:50
18-10-2020 04:14,2,retail,12,tienda-B,casa-B,18-10-2020 04:14
18-10-2020 04:14,4,retail,10,tienda-A,casa-A,18-10-2020 04:14
18-10-2020 04:14,6,retail,110,tienda-C,casa-C,18-10-2020 04:14
18-10-2020 04:14,8,retail,12,tienda-B,casa-B,18-10-2020 04:14
18-10-2020 04:15,2,retail,12,tienda-B,casa-B,18-10-2020 04:15
18-10-2020 04:15,4,retail,10,tienda-A,casa-A,18-10-2020 04:15
18-10-2020 04:15,7,retail,10,tienda-A,casa-A,18-10-2020 04:15
18-10-2020 04:15,8,retail,12,tienda-B,casa-B,18-10-2020 04:15
18-10-2020 04:16,1,retail,10,tienda-A,casa-A,18-10-2020 04:16
18-10-2020 04:16,3,retail,110,tienda-C,casa-C,18-10-2020 04:16
18-10-2020 04:16,5,retail,12,tienda-B,casa-B,18-10-2020 04:16
18-10-2020 04:16,7,retail,10,tienda-A,casa-A,18-10-2020 04:16
18-10-2020 04:18,6,retail,110,tienda-C,casa-C,18-10-2020 04:18
18-10-2020 04:18,7,retail,10,tienda-A,casa-A,18-10-2020 04:18
18-10-2020 04:19,3,retail,110,tienda-C,casa-C,18-10-2020 04:19
18-10-2020 04:19,8,retail,12,tienda-B,casa-B,18-10-2020 04:19
18-10-2020 04:19,9,retail,110,tienda-C,casa-C,18-10-2020 04:19
18-10-2020 04:20,1,retail,10,tienda-A,casa-A,18-10-2020 04:20
18-10-2020 04:20,3,retail,110,tienda-C,casa-C,18-10-2020 04:20
18-10-2020 04:20,5,retail,12,tienda-B,casa-B,18-10-2020 04:20
18-10-2020 04:20,6,retail,110,tienda-C,casa-C,18-10-2020 04:20
18-10-2020 04:20,7,retail,10,tienda-A,casa-A,18-10-2020 04:20
18-10-2020 04:20,8,retail,12,tienda-B,casa-B,18-10-2020 04:20
18-10-2020 10:41,2,retail,12,tienda-B,casa-B,18-10-2020 10:41
18-10-2020 10:41,4,retail,10,tienda-A,casa-A,18-10-2020 10:41
18-10-2020 10:41,5,retail,12,tienda-B,casa-B,18-10-2020 10:41
18-10-2020 10:41,BE127,prioritario,15,pyme,casa-K,18-10-2020 10:41
18-10-2020 10:41,7,retail,10,tienda-A,casa-A,18-10-2020 10:41
18-10-2020 10:41,BE785,prioritario,8,pyme,casa-E,18-10-2020 10:41
18-10-2020 10:41,PF111,prioritario,10,pyme,casa-N,18-10-2020 10:41
18-10-2020 10:41,BE127,prioritario,15,pyme,casa-K,18-10-2020 10:41
